Time (s),Freq. A (MHz),Freq. B (MHz),Freq. C (MHz),Freq. D (MHz),Force (kN)
3.247180302423658e-12,1.85302734375,1.85546875,1.875,1.796875,-1.3566105159971733
0.0025000000032449066,1.85302734375,1.85546875,1.875,1.796875,-1.3566105159971733
0.005000000003242633,1.85302734375,1.85546875,1.875,1.796875,-1.3965092405346544
0.007500000003240359,1.85302734375,1.85546875,1.875,1.796875,-1.3936598584569515
0.010000000003238085,1.85302734375,1.85546875,1.875,1.796875,-1.3650816297553416
0.012500000003235812,1.85302734375,1.85546875,1.875,1.796875,-1.3514001705125647
0.015000000003233538,1.85302734375,1.85546875,1.875,1.796875,-1.3833153804682339
0.017500000003231264,1.85302734375,1.85546875,1.875,1.796875,-1.3376424982892718
0.02000000000322899,1.85302734375,1.85546875,1.875,1.796875,-1.3852756111066693
0.022500000003226717,1.85302734375,1.85546875,1.875,1.796875,-1.4111642591413267
0.025000000003224443,1.85302734375,1.85546875,1.875,1.796875,-1.3969148902696096
0.02750000000322217,1.85302734375,1.85302734375,1.875,1.796875,-1.4082001478456698
0.030000000003219895,1.85302734375,1.85302734375,1.875,1.796875,-1.3468405035927145
0.03250000000321762,1.85302734375,1.85546875,1.875,1.796875,-1.3891051085035862
0.03500000000321535,1.85302734375,1.85546875,1.875,1.796875,-1.4024530335198397
0.037500000003213074,1.85302734375,1.85546875,1.875,1.796875,-1.4170228247074677
0.0400000000032108,1.85302734375,1.85546875,1.875,1.796875,-1.415565763639268
0.04250000000320853,1.85302734375,1.85546875,1.875,1.796875,-1.5019880055575001
0.04500000000320625,1.85302734375,1.85546875,1.875,1.796875,-1.3977360236725054
0.04750000000320398,1.85302734375,1.85546875,1.875,1.796875,-1.472922177679518
0.050000000003201706,1.85302734375,1.85546875,1.875,1.796875,-1.362962417200572
0.05250000000319943,1.85302734375,1.85546875,1.875,1.796875,-1.365975698161086
0.05500000000319716,1.85302734375,1.85546875,1.875,1.796875,-1.4338372110952053
0.057500000003194884,1.85302734375,1.85546875,1.875,1.796875,-1.481390013460035
0.06000000000319261,1.85302734375,1.85546875,1.875,1.796875,-1.4134457315900815
0.06250000000319034,1.85302734375,1.85546875,1.875,1.796875,-1.4817137137535887
0.06500000000318806,1.85302734375,1.85546875,1.875,1.796875,-1.4702383334734674
0.06750000000318579,1.85302734375,1.85302734375,1.875,1.796875,-1.4344903481432223
0.07000000000318352,1.85302734375,1.85546875,1.875,1.796875,-1.347569853621231
0.07250000000318124,1.85302734375,1.85546875,1.875,1.796875,-1.50035721167352
0.07500000000317897,1.85302734375,1.85546875,1.875,1.796875,-1.3467610126345473
0.0775000000031767,1.85302734375,1.85546875,1.875,1.796875,-1.4574550401085027
0.08000000000317442,1.85302734375,1.85546875,1.875,1.796875,-1.451914438375022
0.08250000000317215,1.85302734375,1.85546875,1.875,1.796875,-1.3605998148048248
0.08500000000316987,1.85302734375,1.85302734375,1.875,1.796875,-1.4530543551049784
0.0875000000031676,1.85302734375,1.85546875,1.875,1.796875,-1.4507737021506484
0.09000000000316533,1.85302734375,1.85546875,1.875,1.796875,-1.372486581280811
0.09250000000316305,1.85302734375,1.85546875,1.875,1.796875,-1.4548449503997094
0.09500000000316078,1.85302734375,1.85546875,1.875,1.796875,-1.4544401201591635
0.0975000000031585,1.85302734375,1.85546875,1.875,1.796875,-1.5088258669484378
0.10000000000315623,1.85302734375,1.85546875,1.875,1.796875,-1.4914009572222215
0.10250000000315396,1.85302734375,1.85546875,1.875,1.796875,-1.3835628677812797
0.10500000000315168,1.85302734375,1.85546875,1.875,1.796875,-1.3410589705014981
0.10750000000314941,1.85302734375,1.85546875,1.875,1.796875,-1.3405762882916186
0.11000000000314714,1.85302734375,1.85546875,1.875,1.796875,-1.4375896760172056
0.11250000000314486,1.85302734375,1.85546875,1.875,1.796875,-1.4283064432947024
0.11500000000314259,1.85302734375,1.85546875,1.875,1.796875,-1.4598135450321659
0.11750000000314031,1.85302734375,1.85546875,1.875,1.796875,-1.3885273649416678
0.12000000000313804,1.85302734375,1.85546875,1.875,1.796875,-1.3562007687901423
0.12250000000313577,1.85302734375,1.85546875,1.875,1.796875,-1.3797366483620301
0.1250000000031335,1.85302734375,1.85546875,1.875,1.796875,-1.4660031863415794
0.12750000000313122,1.85302734375,1.85546875,1.875,1.796875,-1.3698896034826387
0.13000000000312895,1.85302734375,1.85546875,1.875,1.796875,-1.4801697862774947
0.13250000000312667,1.85302734375,1.85546875,1.875,1.796875,-1.4331078610666967
0.1350000000031244,1.85302734375,1.85546875,1.875,1.796875,-1.361582388607281
0.13750000000312212,1.85302734375,1.85546875,1.875,1.796875,-1.3945539268626876
0.14000000000311985,1.85302734375,1.85546875,1.875,1.796875,-1.445236378394827
0.14250000000311758,1.85302734375,1.85546875,1.875,1.796875,-1.465676208070391
0.1450000000031153,1.85302734375,1.85546875,1.875,1.796875,-1.31842863225715
0.14750000000311303,1.85302734375,1.85546875,1.875,1.796875,-1.3680121417800295
0.15000000000311076,1.85302734375,1.85546875,1.875,1.796875,-1.389259992947852
0.15250000000310848,1.85302734375,1.85546875,1.875,1.796875,-1.4012270698764058
0.1550000000031062,1.85302734375,1.85546875,1.875,1.796875,-1.364674341031545
0.15750000000310393,1.85302734375,1.85546875,1.875,1.796875,-1.3878807838489777
0.16000000000310166,1.85302734375,1.85302734375,1.875,1.796875,-1.4189453586028575
0.1625000000030994,1.85302734375,1.85302734375,1.875,1.796875,-1.3513977120293224
0.1650000000030971,1.85302734375,1.85546875,1.875,1.796875,-1.4136858434534
