Time (s),Freq. (MHz),Force (kN)
3.623767952376511e-13,1.77734375,-0.575349613822469
0.002475000000362826,1.77734375,-0.575349613822469
0.004950000000363275,1.77490234375,-0.5585860360884056
0.007425000000363724,1.77734375,-0.5286204033437855
0.009900000000364173,1.77734375,-0.6891339547318547
0.012375000000364622,1.77978515625,-0.5700655138406031
0.014850000000365071,1.77734375,-0.5311419876558588
0.01732500000036552,1.77734375,-0.6052783693184605
0.01980000000036597,1.77978515625,-0.6133774326126432
0.02227500000036642,1.77490234375,-0.541969147854456
0.024750000000366867,1.77734375,-0.5418937543683571
0.027225000000367316,1.77490234375,-0.569655766633572
0.029700000000367766,1.77490234375,-0.5886262428247079
0.032175000000368215,1.77734375,-0.5241467833374046
0.034650000000368664,1.77734375,-0.5198255892920635
0.03712500000036911,1.77978515625,-0.5841477058518503
0.03960000000036956,1.77734375,-0.6140346671327201
0.04207500000037001,1.77734375,-0.5757667364792354
0.04455000000037046,1.77978515625,-0.5510933986606334
0.04702500000037091,1.77734375,-0.530161872336637
0.04950000000037136,1.77734375,-0.561751743009935
0.05197500000037181,1.77490234375,-0.6067796830850241
0.054450000000372256,1.77490234375,-0.5373324484596812
0.056925000000372705,1.77734375,-0.5903365276668552
0.059400000000373154,1.77734375,-0.552802044513947
0.0618750000003736,1.77978515625,-0.5654214389961091
0.06435000000037405,1.77734375,-0.5715307698529468
0.0668250000003745,1.77490234375,-0.5434368623500424
0.06930000000037495,1.77978515625,-0.5313058865386697
0.0717750000003754,1.77734375,-0.5998582332638434
0.07425000000037585,1.77734375,-0.5300012514314855
0.0767250000003763,1.77734375,-0.5162427597137758
0.07920000000037675,1.7724609375,-0.5534551815619639
0.0816750000003772,1.77734375,-0.5344002974461681
0.08415000000037764,1.77734375,-0.6024658644894102
0.0866250000003781,1.77978515625,-0.6533982618178218
0.08910000000037854,1.77734375,-0.5670489549024299
0.09157500000037899,1.77490234375,-0.525936559137727
0.09405000000037944,1.77978515625,-0.5822800780822027
0.09652500000037989,1.77734375,-0.5802395369911832
0.09900000000038034,1.77734375,-0.6218001962003796
0.10147500000038079,1.77490234375,-0.5721798094288797
0.10395000000038124,1.77490234375,-0.5680192362886738
0.10642500000038169,1.77734375,-0.5898497479849076
0.10890000000038214,1.77734375,-0.5639553634893483
0.11137500000038258,1.77734375,-0.5881411021315779
0.11385000000038303,1.77734375,-0.5651772296607143
0.11632500000038348,1.77734375,-0.6120006819970275
0.11880000000038393,1.77978515625,-0.5721019574595383
0.12127500000038438,1.77734375,-0.5492200344300842
0.12375000000038483,1.77734375,-0.5520669580245287
0.12622500000038528,1.77734375,-0.5720945820098109
0.12870000000038573,1.77490234375,-0.5577673611687604
0.13117500000038618,1.77734375,-0.5511753481020348
0.13365000000038663,1.77734375,-0.6111033356136159
0.13612500000038708,1.77978515625,-0.5772254365362687
0.13860000000038752,1.77734375,-0.5540181742244193
0.14107500000038797,1.77734375,-0.548734893736954
0.14355000000038842,1.77978515625,-0.5556514265916419
0.14602500000038887,1.77490234375,-0.5703851166620806
0.14850000000038932,1.77734375,-0.5250400322487483
0.15097500000038977,1.77734375,-0.6237161741404674
0.15345000000039022,1.77490234375,-0.5579328990404048
0.15592500000039067,1.77734375,-0.687509716803185
0.15840000000039112,1.77734375,-0.5920492709922448
0.16087500000039157,1.77734375,-0.5446611870046507
0.16335000000039201,1.77734375,-0.5860243480600589
0.16582500000039246,1.77734375,-0.576086339300721
0.1683000000003929,1.77978515625,-0.5644454211489552
0.17077500000039336,1.77490234375,-0.5098162845186867
0.1732500000003938,1.77734375,-0.576001931376061
0.17572500000039426,1.77490234375,-0.5809713455029424
0.1782000000003947,1.77490234375,-0.5673701967127491
0.18067500000039516,1.77734375,-0.593839046792559
0.1831500000003956,1.77734375,-0.526584779219251
0.18562500000039606,1.77734375,-0.5827635797864992
0.1881000000003965,1.77734375,-0.561265782822388
0.19057500000039695,1.77734375,-0.5744571844055503
0.1930500000003974,1.77978515625,-0.6169602621909229
0.19552500000039785,1.77734375,-0.5481546916918016
0.1980000000003983,1.77734375,-0.5379790295523796
0.20047500000039875,1.77734375,-0.620748784867143
0.2029500000003992,1.77490234375,-0.5545926398086781
0.20542500000039965,1.77734375,-0.5296718146770221
0.2079000000004001,1.77734375,-0.5482456555717641
0.21037500000040055,1.77734375,-0.5596399059048928
0.212850000000401,1.77734375,-0.5361908927408991
0.21532500000040145,1.77734375,-0.5396106429307768
0.2178000000004019,1.77978515625,-0.5681872326435609
0.22027500000040234,1.77734375,-0.5720994989762958
0.2227500000004028,1.77490234375,-0.5685117524315313
0.22522500000040324,1.77734375,-0.6417540656883967
0.2277000000004037,1.77490234375,-0.6150049485189722
