num_cross_val,test_fraction,running avg sample length,input data window length,diffs added,lp,ds,cl,avg r2,r2 std,avg MSE,MSE std,r2 0,r2 1,r2 2,r2 3,r2 4,r2 5,r2 6,r2 7,r2 8,r2 9,r2 10,r2 11,r2 12,r2 13,r2 14,r2 15,r2 16,r2 17,r2 18,r2 19,r2 20,r2 21,r2 22,r2 23,r2 24,r2 25,r2 26,r2 27,r2 28,r2 29,mse 0,mse 1,mse 2,mse 3,mse 4,mse 5,mse 6,mse 7,mse 8,mse 9,mse 10,mse 11,mse 12,mse 13,mse 14,mse 15,mse 16,mse 17,mse 18,mse 19,mse 20,mse 21,mse 22,mse 23,mse 24,mse 25,mse 26,mse 27,mse 28,mse 29
30,0.5,50,1,False,"('Linear', None)","('StandardScaler', StandardScaler())","('Linear or Poly Fit', LinearRegression())",0.7010051971611414,0.0034657903122279695,31.063948191152118,0.32394175394941743,0.6965859349895888,0.6971150009200309,0.700628698871038,0.7016993465953472,0.7004934127310313,0.6989457076977803,0.7012334838592134,0.705202783764727,0.7041377681596841,0.7004221517623272,0.7049123224309303,0.6925723158478254,0.7042922714782767,0.7025618565643637,0.7025109508657312,0.7042706830732806,0.699730751160049,0.701695769655747,0.704232563207078,0.7040433075650452,0.7024967016386264,0.7043817615733738,0.69870442919831,0.6972899972912459,0.7014735690255149,0.6916936114288821,0.7049877480340359,0.7015957411205032,0.7033658227800604,0.6968794515445942,30.773576674613363,31.435185827071148,30.961517603461438,30.865637276789684,31.293001934857216,31.450598399747424,30.87693935113637,30.640353125652272,30.6890612919395,31.01259831692678,30.558511312579583,31.531548778961476,31.242339378895444,31.12979553924312,30.80307530132477,30.938020409920934,31.31908650394394,30.82654207592222,30.882163463142152,30.950107894166752,30.414155424688182,31.412336389716398,31.54442361594438,31.37847819276707,30.973675633064648,31.786792505764232,31.295381036038833,31.020359414885462,30.766272558888144,31.14691050251061
30,0.5,50,1,False,"('Linear', None)","('StandardScaler', StandardScaler())","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(1, 1), max_iter=800))",0.3836829440495392,0.3591344978973044,63.98943047185165,37.23603010237972,-0.000738308386975195,-0.0002161582297268705,-6.613657088427871e-06,0.7078704336107567,0.7068229223853888,-3.939014114884287e-08,-3.778532639064913e-05,-4.521848280725216e-05,-4.403038051736807e-05,0.7063775242007346,-0.0002455940392551703,0.00046425017245710354,0.7289727976558917,0.7085254980125144,-0.00013732632230079034,0.7291876581630772,0.7056993547301674,0.7261554187831838,-5.835614423910229e-06,0.7104423124594934,0.7381411926353676,0.7304843878637,-7.631867090629463e-05,0.7031813698782208,0.7383092898780319,0.731628910337272,-0.00034870152695254397,0.7372459090324424,-8.329660377004444e-06,0.7028893513753387,101.49924019940448,103.808313045207,103.42247989557366,30.227105207727277,30.631683064823036,104.46819873612228,103.35196341686807,103.94175028938743,103.7321065013471,30.39609220892678,103.5828285091709,102.5181266251947,28.63477352748714,30.505642440363708,103.55777956877628,28.331305959379527,30.696541197548193,28.298899735352396,104.41427905115401,30.28092251346447,26.770171996000457,28.63867640834724,104.70393228977497,30.767787087115963,27.15177729839595,27.66941087789751,106.11862244556708,27.31437671215214,103.71875931436507,30.529368032654624
30,0.5,50,1,False,"('Linear', None)","('RangeScaler', StandardScaler(with_mean=False))","('Linear or Poly Fit', LinearRegression())",0.7010051971611413,0.0034657903122279547,31.063948191152118,0.3239417539494178,0.6965859349895889,0.6971150009200309,0.7006286988710381,0.701699346595347,0.7004934127310312,0.6989457076977803,0.7012334838592134,0.705202783764727,0.704137768159684,0.7004221517623272,0.7049123224309303,0.6925723158478254,0.7042922714782767,0.7025618565643635,0.7025109508657312,0.7042706830732808,0.699730751160049,0.7016957696557469,0.704232563207078,0.7040433075650452,0.7024967016386263,0.7043817615733738,0.69870442919831,0.6972899972912459,0.7014735690255143,0.6916936114288821,0.7049877480340356,0.7015957411205032,0.7033658227800605,0.6968794515445942,30.77357667461335,31.43518582707116,30.961517603461427,30.865637276789688,31.293001934857227,31.450598399747424,30.87693935113637,30.640353125652272,30.689061291939502,31.012598316926784,30.558511312579583,31.531548778961476,31.24233937889545,31.129795539243123,30.80307530132477,30.938020409920924,31.319086503943936,30.826542075922223,30.882163463142152,30.950107894166752,30.41415542468819,31.41233638971641,31.54442361594437,31.37847819276707,30.97367563306471,31.786792505764232,31.295381036038844,31.02035941488546,30.76627255888814,31.146910502510604
30,0.5,50,1,False,"('Linear', None)","('RangeScaler', StandardScaler(with_mean=False))","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(1, 1), max_iter=800))",0.35561878723647583,0.3558327337203393,67.02113798521378,37.10856865679742,0.7043786116827848,0.7039018809564712,0.7364014164906247,0.7366768586407736,-5.347738534222657e-06,0.7057814819501715,0.7076625585525274,-4.1269719791126036e-05,-3.9028164009691224e-05,0.7061857936550235,-0.0002696574816993813,0.6991141226935189,-0.000249651047421251,-0.00011674347810375352,0.00018079660848369095,-0.00010423328824393785,-8.939393954121577e-05,-0.00014492886526373816,0.7105564516842537,0.7103485229353407,-0.0002048162239174367,0.7304544626921871,-6.949909674025534e-05,0.7032113281961199,0.708524992373986,0.6982035017771757,-0.00034474861099687004,-5.93383723104246e-05,0.7088148167080903,-9.532447668325617e-05,29.983209445888118,30.730803517681135,27.26183890304596,27.246459151242085,104.48240743882877,30.736477404762674,30.212506964423273,103.94133986660674,103.73158763373753,30.415940346678624,103.58532045659551,30.86058350065093,105.67914209705742,104.67194751901108,103.52483998790584,104.62691187694166,104.31266725273122,103.3542491036928,30.221863060256506,30.29073069137046,102.25226041092372,28.64185625123883,104.70321830803337,30.764681651496126,30.242053649597352,31.115614283686114,106.11820311379287,103.96031286218728,30.20111437673709,102.76399842961237
30,0.5,50,1,False,"('Linear', None)","('ScaleControl', None)","('Linear or Poly Fit', LinearRegression())",0.7010051971611414,0.003465790312227973,31.063948191152114,0.3239417539494179,0.6965859349895888,0.6971150009200309,0.700628698871038,0.7016993465953472,0.7004934127310313,0.6989457076977803,0.7012334838592134,0.705202783764727,0.704137768159684,0.7004221517623272,0.7049123224309304,0.6925723158478254,0.7042922714782767,0.7025618565643637,0.7025109508657312,0.7042706830732806,0.699730751160049,0.701695769655747,0.704232563207078,0.7040433075650452,0.7024967016386264,0.7043817615733738,0.69870442919831,0.6972899972912459,0.7014735690255149,0.6916936114288821,0.7049877480340359,0.7015957411205032,0.7033658227800605,0.6968794515445942,30.773576674613363,31.43518582707115,30.96151760346143,30.865637276789684,31.293001934857216,31.450598399747424,30.87693935113637,30.640353125652272,30.689061291939502,31.01259831692678,30.558511312579576,31.531548778961476,31.24233937889545,31.12979553924312,30.80307530132477,30.938020409920934,31.31908650394394,30.82654207592222,30.882163463142152,30.950107894166752,30.414155424688182,31.4123363897164,31.54442361594437,31.37847819276707,30.973675633064648,31.786792505764232,31.295381036038833,31.020359414885462,30.76627255888814,31.146910502510615
30,0.5,50,1,False,"('Linear', None)","('ScaleControl', None)","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(1, 1), max_iter=800))",0.41053888918026366,0.359264914835136,61.265356081126285,37.37822363193324,0.7037032141190518,-0.0002198145920824235,-5.180878591692917e-06,-2.518175413301904e-06,-2.87878953986187e-06,0.736774214667455,-1.8988480140702535e-05,0.7119363324562522,0.7379826325311951,0.7359010410685554,0.7380420230553004,-6.390937163636146e-05,0.7105630313948297,-0.00011526870297973169,0.7087689407328293,0.7383644756459669,-0.00010302252199689832,-0.0001684062936841979,0.710653300648442,-8.372432377834471e-06,0.7084037492997992,-0.0005087839087003498,-8.252611306436286e-05,0.7031554594801139,0.7372165158440277,0.7206328895770535,0.7401618676978684,0.7349638899008168,0.7403394234335068,-9.665588494600641e-05,30.051711210012567,103.80869252398755,103.4223317150484,103.47183168924681,104.48214947847349,27.49872257141361,103.35002079930453,29.94048793583838,27.178416791443485,27.339788230141476,27.12768580453977,102.57229770114574,30.579816250210534,104.671793169446,30.15510075008628,27.37126395362157,104.31408875944396,103.35667524406033,30.211750704495753,104.57735139290503,29.810270134483034,106.31386834681662,104.70458218377932,30.770472921263114,27.26515830911246,28.803115021733348,27.56405303135018,27.551602058467505,26.93144851450978,102.76413523740787
30,0.5,50,1,False,"('Poly', PolynomialFeatures(include_bias=False))","('StandardScaler', StandardScaler())","('Linear or Poly Fit', LinearRegression())",0.757446473314286,0.0018832269298849986,25.200774197292287,0.24766754510960018,0.7569877664395658,0.7536180394534147,0.7564809554701837,0.7563503945303038,0.7570654672001623,0.759314309586882,0.7564176864870162,0.7585329890949338,0.7592353652527261,0.7576850816792898,0.7594385581529051,0.7540304343590997,0.7596849910319319,0.757410725943615,0.7566013244339629,0.7594463831501159,0.7579263781668575,0.7573917531691996,0.7572642734859362,0.7603495273989761,0.7582616492918353,0.7583773748405115,0.7536614084899126,0.7587365062152875,0.7594058195385789,0.753420851852966,0.7594747579984393,0.757375517019344,0.7580425935358835,0.7554053161587473,24.64735971315128,25.570968313868644,25.18517692095036,25.21080748307623,25.382249099322554,25.14399954859272,25.173759156483783,25.097368885675717,24.973923122024086,25.08468257011167,24.911916358602433,25.22805120343991,25.389945354340426,25.389327724279674,25.202365443440133,25.165758962024643,25.249088049493515,25.070959671824426,25.344927980696767,25.06180185643172,24.713231117240237,25.674773049431,25.79065089763241,25.009022532097045,24.962902214350336,25.422633162821608,25.51531011699381,25.221820536918067,25.095312969945603,25.13313190350791
30,0.5,50,1,False,"('Poly', PolynomialFeatures(include_bias=False))","('StandardScaler', StandardScaler())","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(1, 1), max_iter=800))",0.49005228629845676,0.37303752360254333,52.869007385412466,38.54502801870263,-0.0007365750612686739,0.7778720652661961,0.7829055707397223,0.7661900891489736,0.7680840660553501,0.7841483430197942,-1.9609188260716337e-05,-4.078032382559549e-05,0.7681601884397568,0.7697748962929902,0.7689283436366847,-8.520976347359266e-05,-0.0002309709923247194,0.7674417624797072,0.7663744942044148,0.768822777039229,0.7714379373633574,-0.0001482358552669094,-5.5387372861481765e-06,0.7696357189839172,-0.00021535902118952066,0.7867283202091737,-6.517715505816035e-05,0.767102569834716,-1.3019408138248423e-06,-0.00013891211161443096,0.7690847802642103,0.7840437945620036,0.7863483313126991,0.7801722102511907,101.49906439795792,23.05374292867198,22.45229575382714,24.19267882144621,24.23100552087946,22.54963291069621,103.35008494828354,103.9412890002336,24.048173173803804,23.833132875945548,23.92917889071153,102.57448239165622,105.67716849757167,24.339482157035544,24.190416649869626,24.18483806947506,23.83978725391356,103.35459084563311,104.41424805312258,24.090684666564496,102.25333821502407,22.6622071210675,104.70276581827753,24.141808556699907,103.75535545663095,103.11563189972397,24.49586327514936,22.449542562550132,22.15950142056967,22.588229429382245
30,0.5,50,1,False,"('Poly', PolynomialFeatures(include_bias=False))","('RangeScaler', StandardScaler(with_mean=False))","('Linear or Poly Fit', LinearRegression())",0.757446473314286,0.0018832269298849806,25.20077419729229,0.24766754510960015,0.7569877664395658,0.7536180394534147,0.7564809554701837,0.756350394530304,0.7570654672001622,0.7593143095868821,0.7564176864870161,0.7585329890949337,0.7592353652527261,0.7576850816792897,0.759438558152905,0.7540304343590997,0.7596849910319319,0.7574107259436149,0.7566013244339629,0.7594463831501159,0.7579263781668575,0.7573917531691997,0.7572642734859362,0.7603495273989761,0.7582616492918353,0.7583773748405115,0.7536614084899126,0.7587365062152875,0.7594058195385788,0.753420851852966,0.7594747579984392,0.757375517019344,0.7580425935358835,0.7554053161587475,24.64735971315128,25.570968313868644,25.18517692095036,25.210807483076227,25.382249099322564,25.143999548592713,25.17375915648379,25.097368885675728,24.973923122024086,25.084682570111674,24.91191635860244,25.22805120343991,25.38994535434042,25.389327724279685,25.202365443440144,25.165758962024636,25.249088049493515,25.070959671824415,25.344927980696767,25.06180185643172,24.713231117240237,25.674773049431,25.79065089763241,25.00902253209705,24.96290221435035,25.422633162821608,25.515310116993817,25.221820536918067,25.095312969945603,25.133131903507895
30,0.5,50,1,False,"('Poly', PolynomialFeatures(include_bias=False))","('RangeScaler', StandardScaler(with_mean=False))","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(1, 1), max_iter=800))",0.4647854131863462,0.37963720196970335,55.54503464783559,39.33163395323806,0.7820860597789938,0.763485784597886,0.765283165206234,-2.6693757970708276e-06,0.767947271529819,-4.7681560033652204e-08,0.7665363010904088,0.7678630221939503,-4.434507531936305e-05,-0.00015427125112732476,-0.0002376707779403464,-7.785144479943717e-05,-0.0002423404087192882,0.7833278128120897,-0.00017134317672273802,0.7694546622683669,-0.00012005900780454049,0.7814734163138364,0.7665310571309665,0.7686713158746646,0.7714129240653949,0.7865646739937243,0.7809694506148653,-1.5054660331470515e-05,0.784790540336287,-0.00013004285497464352,0.7688257137982891,0.7837891204330788,0.7858470094580056,-0.0001012101913802077,22.1017814306932,24.546835711551363,24.274836582165914,103.47184733418807,24.245298065798604,104.46819960231183,24.12801998376052,24.12763276510212,103.73213914386457,103.53696994532764,103.58200799686583,102.57372768023572,105.67836970785898,22.676852431536982,103.56130179499377,24.11873275966351,104.3158657218695,22.582378127641736,24.377349093695216,24.191538545012943,23.368758914078423,22.679596136021246,22.93160970223913,103.66010473492197,22.329104913864995,103.11471746774674,24.52334546855196,22.476016993721394,22.211497468246247,102.76460321153773
