num_cross_val,test_fraction,running avg sample length,input data window length,diffs added,lp,ds,cl,avg r2,r2 std,avg MSE,MSE std
100,0.5,40,3,False,"('Linear', None)","('StandardScaler', StandardScaler())","('Linear or Poly Fit', LinearRegression())",0.6883976341468235,0.004748121542853466,33.410815304799364,0.4600562355687485
100,0.5,40,3,False,"('Linear', None)","('StandardScaler', StandardScaler())","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(3, 3), max_iter=800))",0.7478960151463535,0.1117664802978629,27.043044628614744,12.06994947716663
100,0.5,40,3,False,"('Linear', None)","('RangeScaler', StandardScaler(with_mean=False))","('Linear or Poly Fit', LinearRegression())",0.6883976341468234,0.004748121542853469,33.41081530479935,0.4600562355687523
100,0.5,40,3,False,"('Linear', None)","('RangeScaler', StandardScaler(with_mean=False))","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(3, 3), max_iter=800))",0.7452404509901756,0.07974984812733256,27.317823942641233,8.581142433771818
100,0.5,40,3,False,"('Linear', None)","('ScaleControl', None)","('Linear or Poly Fit', LinearRegression())",0.6883976341468235,0.004748121542853403,33.41081530479936,0.46005623556874126
100,0.5,40,3,False,"('Linear', None)","('ScaleControl', None)","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(3, 3), max_iter=800))",0.7450482871056496,0.02554158464744314,27.336113508403606,2.728227078096005
100,0.5,40,3,False,"('Poly', PolynomialFeatures(include_bias=False))","('StandardScaler', StandardScaler())","('Linear or Poly Fit', LinearRegression())",0.729085164663259,0.034811271991019084,29.042442485283946,3.672363076756089
100,0.5,40,3,False,"('Poly', PolynomialFeatures(include_bias=False))","('StandardScaler', StandardScaler())","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(3, 3), max_iter=800))",0.8144634687932721,0.0061482217024971635,19.89406958746052,0.6596333705652677
100,0.5,40,3,False,"('Poly', PolynomialFeatures(include_bias=False))","('RangeScaler', StandardScaler(with_mean=False))","('Linear or Poly Fit', LinearRegression())",0.7290851646630694,0.03481127199064587,29.042442485303777,3.6723630767098703
100,0.5,40,3,False,"('Poly', PolynomialFeatures(include_bias=False))","('RangeScaler', StandardScaler(with_mean=False))","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(3, 3), max_iter=800))",0.798250106578756,0.08112103589240893,21.638741468555605,8.763536651994443
100,0.5,40,3,False,"('Poly', PolynomialFeatures(include_bias=False))","('ScaleControl', None)","('Linear or Poly Fit', LinearRegression())",0.7290851646645651,0.03481127198755412,29.042442485144193,3.6723630763831534
100,0.5,40,3,False,"('Poly', PolynomialFeatures(include_bias=False))","('ScaleControl', None)","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(3, 3), max_iter=800))",0.5251462268836736,0.5951818137193471,50.88508664570104,63.72246996562015
