num_cross_val,test_fraction,running avg sample length,input data window length,diffs added,lp,ds,cl,avg r2,r2 std,avg MSE,MSE std
100,0.5,40,4,False,"('Linear', None)","('StandardScaler', StandardScaler())","('Linear or Poly Fit', LinearRegression())",0.6885911072537005,0.004335548939359577,33.39091808708636,0.4476063313395596
100,0.5,40,4,False,"('Linear', None)","('StandardScaler', StandardScaler())","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(4, 4), max_iter=800))",0.7904704197992554,0.023910796625487764,22.468479320279517,2.582049118765709
100,0.5,40,4,False,"('Linear', None)","('RangeScaler', StandardScaler(with_mean=False))","('Linear or Poly Fit', LinearRegression())",0.6885911072537003,0.004335548939359909,33.390918087086376,0.4476063313395612
100,0.5,40,4,False,"('Linear', None)","('RangeScaler', StandardScaler(with_mean=False))","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(4, 4), max_iter=800))",0.769549031913577,0.026451385268170716,24.704026315537103,2.7827896987796485
100,0.5,40,4,False,"('Linear', None)","('ScaleControl', None)","('Linear or Poly Fit', LinearRegression())",0.6885911072537005,0.004335548939359542,33.39091808708637,0.44760633133955946
100,0.5,40,4,False,"('Linear', None)","('ScaleControl', None)","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(4, 4), max_iter=800))",0.7691651689192949,0.02340289812294428,24.751118244334478,2.5051650175154467
100,0.5,40,4,False,"('Poly', PolynomialFeatures(include_bias=False))","('StandardScaler', StandardScaler())","('Linear or Poly Fit', LinearRegression())",0.6354394821254621,0.12159524915756495,39.0719757050293,12.97246738409233
100,0.5,40,4,False,"('Poly', PolynomialFeatures(include_bias=False))","('StandardScaler', StandardScaler())","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(4, 4), max_iter=800))",0.8227541940983101,0.0067384134884647395,19.0052788319682,0.7198212558908413
100,0.5,40,4,False,"('Poly', PolynomialFeatures(include_bias=False))","('RangeScaler', StandardScaler(with_mean=False))","('Linear or Poly Fit', LinearRegression())",0.6354394821298809,0.12159524914688245,39.071975704553935,12.972467382926055
100,0.5,40,4,False,"('Poly', PolynomialFeatures(include_bias=False))","('RangeScaler', StandardScaler(with_mean=False))","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(4, 4), max_iter=800))",0.8182232708728685,0.007756735350157375,19.49105232424499,0.8283260223947221
100,0.5,40,4,False,"('Poly', PolynomialFeatures(include_bias=False))","('ScaleControl', None)","('Linear or Poly Fit', LinearRegression())",0.6354394821223275,0.12159524914573634,39.0719757053629,12.972467382811965
100,0.5,40,4,False,"('Poly', PolynomialFeatures(include_bias=False))","('ScaleControl', None)","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(4, 4), max_iter=800))",0.5137897730088873,0.4695920413873042,52.089080628986075,49.86940998263114
